Nombre_estación,Fecha,Hora,HR,Presion,DirViento,IntViento
MENDOZA_OBSERVATORIO,01/01/1998,0,74,922.8,23,18.5
MENDOZA_OBSERVATORIO,01/01/1998,3,73,922.1,23,11.1
MENDOZA_OBSERVATORIO,01/01/1998,6,90,921.9,23,3.7
MENDOZA_OBSERVATORIO,01/01/1998,9,87,923.9,23,3.7
MENDOZA_OBSERVATORIO,01/01/1998,12,88,923.5,CALMA,2.0
MENDOZA_OBSERVATORIO,01/01/1998,15,61,921.3,CALMA,1.0
MENDOZA_OBSERVATORIO,01/01/1998,18,63,920.9,CALMA,2.0
MENDOZA_OBSERVATORIO,01/01/1998,21,73,920.4,CALMA,3.0
MENDOZA_OBSERVATORIO,02/01/1998,0,79,921.1,CALMA,4.0
MENDOZA_OBSERVATORIO,02/01/1998,3,89,920.4,CALMA,1.0
MENDOZA_OBSERVATORIO,02/01/1998,6,87,920.1,CALMA,2.0
MENDOZA_OBSERVATORIO,02/01/1998,9,70,918.9,23,3.7
MENDOZA_OBSERVATORIO,02/01/1998,12,61,917.9,14,18.5
